"wl","gv_q_Reflection_00002"
446,8.35203560128909
447,8.38090044677324
448,8.40984296148161
449,8.43885767009291
450,8.46793909728584
451,8.49677603161969
452,8.52513961846789
453,8.55314791773031
454,8.58091898930687
455,8.60857089309746
456,8.63622168900197
457,8.66398943692031
458,8.69199219675236
459,8.72034802839804
460,8.74917499175722
461,8.77859114672983
462,8.80871455321574
463,8.83966327111486
464,8.86993386971739
465,8.89827058068172
466,8.92516295746002
467,8.95110055350446
468,8.9765729222672
469,9.00206961720042
470,9.0280801917563
471,9.05509419938698
472,9.08360119354465
473,9.11409072768148
474,9.14705235524963
475,9.18297562970128
476,9.21832967723411
477,9.24988209998884
478,9.27857016533222
479,9.30533114063098
480,9.33110229325185
481,9.35682089056158
482,9.38342419992691
483,9.41184948871456
484,9.44303402429128
485,9.47791507402381
486,9.51742990527888
487,9.56251578542322
488,9.61410998182358
489,9.66596742848128
490,9.71232266332952
491,9.75483235963284
492,9.79515319065582
493,9.834941829663
494,9.87585494991893
495,9.91954922468818
496,9.9676813272353
497,10.0219079308248
498,10.0838857087213
499,10.1552713341894
500,10.2377214804935
501,10.3240457961388
502,10.4069103898605
503,10.4877566252686
504,10.5680258659729
505,10.6491594755834
506,10.73259881771
507,10.8197852559625
508,10.9121601539509
509,11.011164875285
510,11.1182407835748
511,11.2348292424302
512,11.362371615461
513,11.5023092662772
514,11.6493031127168
515,11.7976398112689
516,11.9481993335204
517,12.1018616510583
518,12.2595067354694
519,12.4220145583405
520,12.5902650912587
521,12.7651383058106
522,12.9475141735833
523,13.1382726661636
524,13.3382937551384
525,13.5484574120946
526,13.7682296984206
527,13.9962141026794
528,14.2319967372191
529,14.4751637143879
530,14.7253011465343
531,14.9819951460063
532,15.2448318251522
533,15.5133972963204
534,15.787277671859
535,16.0660590641164
536,16.3493275854407
537,16.6366693481802
538,16.9276704646832
539,17.2276246662833
540,17.5409619601092
541,17.865972872202
542,18.2009479286026
543,18.5441776553519
544,18.893952578491
545,19.2485632240607
546,19.6063001181021
547,19.965453786656
548,20.3243147557635
549,20.6811735514655
550,21.034320699803
551,21.3925176233805
552,21.7643507146352
553,22.1478479543567
554,22.5410373233345
555,22.9419468023582
556,23.3486043722174
557,23.7590380137017
558,24.1712757076007
559,24.583345434704
560,24.9932751758011
561,25.3990929116818
562,25.7988266231354
563,26.1905042909517
564,26.5843578156138
565,26.9903649557124
566,27.4061724791987
567,27.8294271540238
568,28.2577757481388
569,28.6888650294947
570,29.1203417660427
571,29.5498527257339
572,29.9750446765194
573,30.3935643863502
574,30.8030586231776
575,31.2011741549526
576,31.5975232021033
577,32.0020568317675
578,32.4129300819606
579,32.8282979906981
580,33.2463155959955
581,33.6651379358682
582,34.0829200483318
583,34.4978169714015
584,34.9079837430931
585,35.3115754014218
586,35.7067469844032
587,36.0916535300527
588,36.4644500763858
589,36.8334948806994
590,37.2072219777469
591,37.5839000717285
592,37.9617978668442
593,38.3391840672942
594,38.7143273772787
595,39.0854965009977
596,39.4509601426514
597,39.80898700644
598,40.1578457965635
599,40.4958052172222
600,40.8211339726161
601,41.1395317239881
602,41.4572803685761
603,41.7735219645728
604,42.0873985701709
605,42.398052243563
606,42.7046250429418
607,43.0062590265
608,43.3020962524302
609,43.5912787789251
610,43.8729486641774
611,44.1462479663796
612,44.4103187437246
613,44.6643030544049
614,44.908862245572
615,45.1455329694839
616,45.3747702419927
617,45.5970290789508
618,45.8127644962105
619,46.0224315096241
620,46.2264851350439
621,46.4253803883222
622,46.6195722853114
623,46.8095158418636
624,46.9956660738313
625,47.1784779970667
626,47.351809022574
627,47.5104833156088
628,47.6564060234004
629,47.7914822931779
630,47.9176172721705
631,48.0367161076076
632,48.1506839467182
633,48.2614259367318
634,48.3708472248774
635,48.4808529583842
636,48.5933482844816
637,48.7102383503987
638,48.8334283033648
639,48.9510020875491
640,49.051802723923
641,49.1388739749186
642,49.2152596029683
643,49.2840033705045
644,49.3481490399594
645,49.4107403737655
646,49.4748211343548
647,49.5434350841599
648,49.619625985613
649,49.7064376011464
650,49.8069136931925
651,49.9119805102091
652,50.0114100361946
653,50.1065146368917
654,50.198606678043
655,50.2889985253913
656,50.3790025446794
657,50.4699311016498
658,50.5630965620454
659,50.6598112916088
660,50.7613876560828
661,50.8691380212101
662,50.9843747527334
663,51.1084102163953
664,51.2371544731982
665,51.3659116303856
666,51.4950851230626
667,51.6250783863342
668,51.7562948553054
669,51.8891379650813
670,52.0240111507668
671,52.1613178474669
672,52.3014614902868
673,52.4448455143313
674,52.5918733547054
675,52.7429484465143
676,52.8970121359677
677,53.0528052080451
678,53.2104302560063
679,53.3699898731111
680,53.5315866526194
681,53.695323187791
682,53.8613020718855
683,54.0296258981629
684,54.2003972598829
685,54.3737187503053
686,54.5496929626899
687,54.7284224902965
688,54.910009926385
689,55.094755552446
690,55.2828047003659
691,55.4740275389978
692,55.6682942371947
693,55.8654749638097
694,56.0654398876959
695,56.2680591777063
696,56.473203002694
697,56.680741531512
698,56.8905449330135
699,57.1024833760514
700,57.3164270294789
